start_station_name,ride_id
West St & Chambers St,83747
W 21 St & 6 Ave,81113
Broadway & W 58 St,72908
6 Ave & W 33 St,70250
1 Ave & E 68 St,68446
Broadway & E 14 St,66687
Broadway & E 21 St,64422
Broadway & W 25 St,64215
12 Ave & W 40 St,62310
Cleveland Pl & Spring St,61252
6 Ave & W 34 St,60956
Central Park S & 6 Ave,60938
University Pl & E 14 St,60289
W 31 St & 7 Ave,59937
West St & Liberty St,59231
11 Ave & W 41 St,58855
E 33 St & 1 Ave,58608
Lafayette St & E 8 St,56729
8 Ave & W 33 St,54967
E 40 St & Park Ave,54306
